dom_len,is_ip,tld_len,subdom_cnt,digit_cnt,qm_cnt,amp_cnt,dot_cnt,dash_cnt,under_cnt,letter_ratio,digit_ratio,spec_ratio,is_https,slash_cnt,path_len,query_len,label
28,0,2,0,0,0,0,1,1,0,0.833333333,0.0,0.166666667,0,3,1,0,0
17,0,3,1,0,0,0,2,0,0,0.793103448,0.0,0.206896552,0,3,1,0,0
8,0,3,0,0,0,0,1,0,0,0.6875,0.0,0.3125,0,3,1,0,0
11,0,3,1,2,0,0,2,2,0,0.75,0.05,0.2,1,3,10,0,1
17,0,2,1,0,0,0,2,0,0,0.8125,0.0,0.1875,1,3,3,0,0
10,0,2,0,1,0,0,1,0,0,0.75,0.041666667,0.208333333,1,3,6,0,1
11,0,6,1,0,0,0,3,0,0,0.708333333,0.0,0.291666667,1,3,1,0,0
12,0,3,1,0,0,0,2,0,0,0.75,0.0,0.25,0,3,1,0,0
11,0,3,1,0,0,0,2,0,0,0.739130435,0.0,0.260869565,0,3,1,0,0
9,0,3,1,0,0,0,2,3,0,0.769230769,0.0,0.230769231,1,3,1,0,1
12,0,3,1,0,0,0,2,0,0,0.791666667,0.0,0.208333333,1,2,0,0,0
12,0,6,1,0,0,0,3,0,0,0.708333333,0.0,0.291666667,0,3,1,0,0
21,0,3,1,0,0,0,2,0,0,0.823529412,0.0,0.176470588,1,3,1,0,0
10,0,3,0,0,0,0,1,0,0,0.785714286,0.0,0.214285714,1,4,10,0,1
11,0,6,1,0,0,0,3,0,0,0.708333333,0.0,0.291666667,1,3,1,0,0
19,0,3,1,0,0,0,2,1,0,0.855072464,0.0,0.144927536,1,6,33,0,1
16,0,6,1,0,0,0,3,1,0,0.75,0.0,0.25,1,2,0,0,0
11,0,3,1,0,0,0,2,0,0,0.739130435,0.0,0.260869565,0,3,1,0,0
9,0,6,2,0,0,0,5,1,0,0.75,0.0,0.25,0,5,21,0,0
8,0,5,1,0,0,0,3,0,0,0.733333333,0.0,0.266666667,1,4,12,0,1
